batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B026058,508,955,804,792,822,943,93,386,937,798,628,686,906,747,39,274,473,680,128,901,902,694,32,823,787,281,102,791,935,921
B043311,120,929,902,914,969,919,187,719,55,240,667,952,100,730,375,744,251,555,791,56,116,3,793,769,430,743,849,661,825,390
B001536,512,475,707,678,875,597,195,340,167,293,718,962,678,326,663,155,299,192,391,59,822,390,102,862,87,869,451,764,603,564
B036017,35,303,59,159,967,466,825,842,970,591,48,896,891,849,438,547,536,57,99,7,100,508,686,641,623,567,525,31,796,61
B040814,451,113,178,631,168,214,244,594,602,610,171,359,436,503,704,272,186,285,884,401,757,132,755,337,538,598,422,971,196,745
B027492,546,356,75,202,53,582,199,377,878,693,711,350,28,342,868,667,205,680,80,762,322,825,863,798,568,711,712,351,104,930
B042252,297,194,452,146,13,555,345,868,740,52,829,141,808,487,557,268,933,534,125,942,573,509,892,698,497,374,316,709,941,88
B006372,178,471,823,769,882,695,926,464,117,479,31,257,757,673,436,822,680,798,537,554,94,559,952,239,261,622,594,257,244,661
B026121,409,621,624,736,305,170,470,813,267,89,840,42,744,816,403,444,307,335,134,828,306,747,662,792,370,299,397,194,455,337
B047815,870,788,11,62,564,93,532,7,855,243,246,526,778,619,566,409,207,813,923,488,127,57,771,279,895,741,765,381,789,3
B043531,59,674,826,717,946,442,613,819,505,335,780,568,928,288,808,654,290,889,612,121,377,72,530,717,907,365,356,517,572,803
B020249,262,167,140,948,358,190,523,524,198,846,988,82,405,821,157,467,647,299,770,28,950,790,166,133,627,449,218,770,646,766
B023972,536,22,921,596,759,435,960,899,119,1,195,327,682,968,630,563,974,446,724,102,28,707,573,176,90,952,541,100,62,302
B048806,279,232,29,174,69,897,303,463,425,9,499,379,494,136,878,194,249,75,127,121,657,807,92,234,157,84,547,528,206,35
B046140,873,323,778,169,288,526,389,129,633,213,976,545,122,329,114,657,921,821,188,466,55,284,378,402,55,546,55,95,451,127
B047316,714,902,789,557,289,305,388,307,247,546,724,621,300,717,463,959,652,17,11,339,744,864,757,560,461,236,149,828,801,216
B045941,686,804,897,51,744,264,851,507,341,950,306,508,862,381,166,733,500,725,538,357,13,904,275,913,979,784,726,12,27,866
B044263,216,604,573,952,749,342,735,17,161,101,732,192,809,965,506,719,345,849,913,107,579,958,275,463,930,992,555,565,772,798
B029736,944,516,569,20,995,334,558,185,238,587,793,438,285,548,977,411,927,357,752,127,108,456,473,128,195,130,152,697,355,196
B013147,87,781,380,162,313,261,74,207,883,2,754,765,34,926,621,439,245,7,973,876,86,148,371,669,193,911,539,868,383,893
B011399,683,169,297,392,690,101,265,189,665,494,345,75,806,915,863,165,675,775,240,807,807,951,531,908,749,267,186,275,271,107
B015375,741,818,570,157,853,969,198,210,311,8,742,985,910,549,928,895,984,46,874,243,220,227,173,131,948,261,652,361,718,438
B047470,132,837,142,16,36,441,502,366,47,917,417,840,833,100,975,276,362,553,858,16,395,562,636,208,617,709,699,658,464,711
B013364,774,235,691,766,185,215,582,958,731,432,915,657,722,851,659,896,327,752,729,248,500,859,990,745,634,176,853,362,643,669
B030553,684,186,9,103,537,64,451,190,950,25,575,450,362,520,687,901,117,890,375,2,287,545,633,627,854,870,903,21,805,133
B029093,211,675,881,475,917,78,310,478,274,598,46,157,411,49,608,243,267,508,494,700,515,157,654,408,288,347,938,211,435,711
B035923,866,779,155,612,968,611,570,37,663,531,764,404,542,823,658,560,710,337,314,559,365,216,975,945,762,69,755,546,123,758
B022784,591,63,510,580,602,853,259,171,213,153,527,143,690,634,987,798,289,572,838,345,650,712,208,85,725,78,489,235,732,320
B011324,869,202,36,802,324,945,935,378,352,861,364,117,467,455,935,324,817,815,763,197,912,641,740,692,684,801,264,342,616,203
B046695,135,305,685,921,33,129,495,214,647,410,790,297,281,945,619,747,330,930,141,987,745,771,902,12,160,252,642,9,975,835
B022283,967,962,507,529,654,888,21,303,819,198,766,404,172,188,68,555,330,81,363,79,192,747,673,913,10,128,68,316,58,846
B017047,385,180,52,632,496,954,855,258,913,7,829,431,491,37,983,336,458,948,92,102,45,532,800,228,890,774,207,913,962,191
B014822,247,481,485,610,645,810,669,39,778,389,115,509,789,932,674,788,784,580,211,116,455,316,854,420,752,673,282,398,852,693
B015241,181,995,682,948,874,353,77,93,373,269,127,438,50,273,108,314,736,565,368,490,380,791,857,251,533,101,63,972,53,121
B044145,993,613,973,76,136,998,114,724,914,226,874,79,218,383,231,315,370,135,996,917,268,680,424,403,873,594,576,895,451,264
B007825,997,425,575,480,865,843,649,435,85,901,602,561,261,621,303,107,203,292,84,11,759,830,91,480,651,523,243,895,356,711
B048151,248,505,419,531,188,652,966,298,671,719,414,431,353,360,783,901,566,34,328,407,501,671,784,214,92,81,758,349,864,120
B037624,112,431,409,159,217,100,536,399,291,800,264,951,411,960,417,470,299,98,294,517,723,760,682,795,987,252,300,931,598,100
B008934,66,471,707,505,332,459,48,450,731,780,155,484,318,226,172,531,27,628,855,497,578,909,466,74,919,714,472,375,263,92
B012352,233,957,209,693,545,288,742,500,565,43,875,382,556,769,782,207,374,77,76,107,517,273,537,522,211,416,889,385,467,953
B014067,691,839,390,425,759,32,818,789,698,522,603,778,148,897,730,275,432,54,331,155,645,879,543,109,128,619,472,476,68,467
B040462,775,216,673,107,103,795,160,687,889,470,7,179,24,657,591,520,328,577,197,563,301,328,426,144,586,45,949,808,360,102
B049905,407,207,966,924,384,999,564,842,112,230,514,802,587,710,367,885,257,311,889,529,831,22,813,666,563,69,148,133,807,962
B042222,967,437,740,176,438,490,770,202,452,633,225,274,573,578,313,132,807,631,692,201,405,72,401,685,854,563,836,922,552,947
B037921,97,375,157,611,675,836,329,923,601,366,808,352,480,870,552,84,244,451,71,338,384,929,439,283,976,871,128,191,495,842
B003666,868,557,257,520,621,719,4,686,662,105,366,184,424,38,563,90,514,184,20,513,528,821,867,265,686,933,29,752,815,310
B018800,689,834,575,648,756,81,208,233,92,458,648,856,516,905,236,186,72,932,960,123,952,227,401,648,407,418,513,419,383,955
B001669,491,476,218,633,706,66,401,685,588,753,248,169,560,980,237,550,998,100,82,327,96,856,836,52,988,714,78,773,706,80
B050327,591,452,227,223,953,146,803,180,268,922,82,211,329,727,128,953,849,567,748,669,491,169,715,550,968,6,790,941,513,585
B044663,280,418,762,66,887,137,940,840,548,436,712,764,443,112,885,211,551,375,940,967,406,386,35,572,640,660,233,16,450,213
B041883,974,418,58,652,217,334,211,363,982,945,837,781,377,827,846,796,289,221,7,724,89,613,599,884,886,459,699,636,860,427
B034970,490,920,399,882,82,886,19,278,24,465,266,373,121,294,354,559,435,194,29,975,78,868,479,824,588,113,192,898,795,891
B044931,802,591,730,211,244,416,986,196,546,55,382,290,283,509,224,565,993,813,198,441,239,442,327,812,965,396,639,963,96,412
B008210,582,501,285,603,251,211,594,656,683,171,518,874,812,994,751,934,263,939,234,675,739,70,927,301,360,399,71,463,838,99
B009349,392,51,544,402,54,264,428,234,899,410,504,570,803,943,859,634,191,872,196,166,331,772,499,656,831,232,662,796,180,926
B027796,381,812,671,426,540,843,284,617,626,204,269,266,625,78,513,651,353,115,33,573,585,630,989,989,534,992,456,284,105,27
B029756,538,907,915,990,134,1,468,100,86,395,281,385,789,90,793,591,150,810,580,17,39,815,308,3,159,340,846,708,841,603
B043757,812,752,199,349,864,914,942,164,881,808,574,852,808,232,416,847,470,81,732,341,619,141,399,237,917,862,783,47,453,746
B001115,720,796,869,749,692,220,133,244,366,809,305,919,780,84,411,154,503,430,762,269,189,83,535,836,779,746,687,958,406,542
B007492,642,347,347,880,304,30,914,471,934,841,518,517,982,985,180,736,339,968,793,893,739,449,80,480,348,899,177,815,934,581
B038991,106,182,616,335,233,428,121,514,39,475,358,244,557,85,971,595,401,206,6,678,609,199,237,122,690,631,550,825,637,91
B025057,883,862,126,495,713,156,769,783,438,426,450,40,443,838,767,211,167,992,358,288,399,222,7,675,603,236,960,226,117,5
B029436,828,542,951,584,81,194,158,281,378,542,61,747,903,633,874,465,448,180,605,649,953,699,334,608,396,520,401,965,747,482
B050131,326,702,222,499,912,549,751,252,393,191,77,309,204,185,997,161,781,683,920,418,728,686,279,416,288,915,189,130,569,310
B032225,960,359,548,922,313,418,470,180,231,143,435,917,73,268,931,0,35,420,687,711,575,349,121,823,725,145,65,781,238,246
B039161,245,366,535,402,280,87,256,458,185,109,636,787,506,779,881,509,228,294,99,35,686,562,514,575,142,362,967,981,989,725
B048355,376,606,837,991,896,153,216,682,576,286,247,10,993,406,353,220,120,879,36,848,205,380,957,501,815,92,820,685,661,542
B035456,690,870,667,372,118,663,931,851,167,181,946,407,439,507,374,413,459,652,773,862,217,904,718,574,371,54,152,535,995,703
B027461,756,887,390,760,816,302,566,235,769,449,744,371,794,556,860,881,89,588,55,14,489,74,880,893,876,754,132,370,880,743
B047858,236,64,478,700,521,513,980,450,900,518,570,715,580,446,669,34,82,47,338,266,396,540,169,739,488,340,208,564,483,546
B004317,242,555,504,645,582,303,658,121,962,50,184,243,638,144,184,675,36,178,666,22,808,569,540,132,214,939,828,385,940,597
B044106,53,724,911,978,987,34,345,82,844,812,681,4,803,893,403,281,369,942,201,509,783,809,198,733,160,570,225,380,461,6
B050157,47,225,328,711,767,860,278,66,363,182,679,82,0,879,488,950,974,36,106,947,565,740,571,264,988,651,193,325,446,48
B025950,760,5,38,952,456,799,360,61,1,49,380,109,120,248,977,977,952,923,586,561,489,544,797,863,398,54,467,579,465,422
B006933,490,928,1,166,679,340,153,794,105,883,592,98,729,535,106,432,937,748,162,947,673,80,459,642,880,554,411,103,622,163
B022729,491,370,225,805,794,195,972,254,787,220,21,348,962,774,784,739,885,370,187,907,742,12,106,520,413,521,726,843,109,358
B027777,29,518,114,209,88,358,610,530,742,188,265,308,972,483,545,600,796,320,8,496,457,306,789,125,595,323,800,938,421,274
B049558,437,254,71,347,437,455,189,162,742,692,892,67,312,965,960,843,701,511,284,884,833,890,363,203,883,478,645,88,88,357
B022977,251,103,102,327,891,352,320,137,902,432,173,623,536,757,31,98,125,896,947,408,557,497,500,176,800,376,340,555,278,105
B045220,566,197,982,29,838,86,783,519,194,131,118,301,269,79,810,469,304,547,345,827,875,518,17,888,434,47,956,58,370,630
B044015,353,484,865,499,959,724,334,40,225,847,564,482,425,331,900,102,409,492,18,731,399,535,39,718,349,11,638,799,853,653
B047175,358,272,180,889,931,508,351,388,522,253,80,616,584,783,951,851,237,530,872,244,425,826,629,381,551,618,492,55,775,138
B045803,551,12,436,216,346,915,497,922,566,806,419,132,206,436,566,788,494,403,625,334,492,967,923,13,632,959,535,702,108,397
B018787,891,520,846,981,165,323,88,366,199,851,288,231,842,677,725,414,863,597,335,30,880,776,166,277,538,425,892,967,937,472
B012903,317,414,572,437,721,891,120,179,300,317,261,364,597,555,7,225,78,814,888,129,653,658,888,862,81,256,752,907,998,587
B012335,231,1,619,495,617,884,803,557,520,877,475,964,686,525,647,873,102,61,66,144,408,512,510,545,35,624,751,834,605,486
B008292,651,317,467,302,420,481,45,878,906,875,88,390,432,129,864,870,230,899,288,83,776,479,576,577,68,563,337,356,103,532
B021106,713,704,731,856,373,816,64,177,68,294,916,536,55,59,659,17,50,824,719,273,476,29,49,31,417,498,176,81,669,329
B042827,239,650,225,955,424,331,503,480,226,57,528,739,388,389,68,540,795,500,2,82,910,635,776,295,102,64,410,699,457,13
B034713,461,550,336,46,11,97,19,169,437,767,787,895,475,291,492,732,951,668,622,599,141,285,310,54,661,54,310,111,578,881
B032281,80,588,772,257,3,360,683,540,889,540,798,864,873,897,640,400,369,77,170,750,521,328,671,640,978,88,371,626,148,534
B007898,890,80,277,736,484,45,104,75,667,987,522,179,847,306,914,768,626,255,969,116,786,103,649,816,446,796,134,260,334,870
B049523,283,860,678,453,648,165,491,498,710,893,948,133,319,483,687,43,339,681,195,662,929,47,102,380,581,288,2,85,702,897
B030375,100,134,951,805,170,893,44,196,516,414,24,327,117,656,652,936,217,629,299,677,134,395,22,497,597,308,145,814,745,255
B016277,223,67,426,776,407,415,978,156,454,867,108,618,829,552,948,953,440,997,612,410,601,118,691,393,841,512,870,120,957,635
B020760,532,806,54,687,917,128,552,898,245,691,531,139,842,518,571,967,918,258,557,995,916,112,514,786,957,100,571,254,741,802
B002919,126,500,935,18,346,190,83,64,626,896,755,389,109,188,140,45,921,349,436,339,596,43,194,233,69,29,817,65,796,695
B038165,786,314,868,153,296,879,424,285,317,232,631,995,358,735,773,671,347,692,408,995,110,786,295,499,693,902,66,917,8,35
B041040,282,554,944,736,774,347,221,83,75,179,550,839,308,606,510,831,107,997,852,154,375,502,252,199,607,121,906,592,110,400
B006411,670,336,219,909,686,980,840,788,823,695,234,882,563,106,245,441,134,741,939,630,803,660,920,540,722,216,459,880,174,694
B047482,686,742,966,295,150,285,378,861,237,133,804,934,882,898,875,441,108,885,620,928,608,253,929,217,91,267,143,899,388,187
B025303,899,553,667,688,289,360,254,394,33,243,742,191,850,897,537,63,638,779,74,699,781,398,172,982,50,256,942,88,831,653
B032706,506,880,221,144,294,461,805,77,29,861,333,365,490,406,680,8,851,369,62,929,111,711,409,637,697,468,328,46,98,815
B040761,826,273,426,318,74,241,490,704,859,694,724,389,458,26,971,149,921,395,834,681,582,528,699,128,847,434,973,219,539,469
B021247,313,837,490,224,19,313,595,318,484,789,51,896,780,592,278,730,37,700,177,409,534,743,307,295,563,587,169,118,194,829
B049057,46,46,758,195,826,53,490,339,275,985,94,549,828,365,272,224,619,577,286,933,334,180,329,620,659,637,676,543,329,335
B012610,423,938,219,121,521,474,181,128,62,539,863,633,580,387,614,944,972,423,757,147,551,438,756,50,870,3,894,611,129,238
B020512,652,29,783,693,907,376,370,77,471,467,664,145,342,163,242,857,275,345,657,764,994,739,791,937,841,744,320,515,10,493
B007212,916,14,449,236,104,616,101,874,870,875,158,878,848,854,155,92,999,489,378,239,287,257,221,390,470,496,715,985,900,982
B006824,983,636,567,159,610,316,923,411,234,50,924,991,178,355,958,143,675,831,60,876,767,284,382,495,790,12,824,462,953,840
B046490,156,659,294,942,385,491,175,535,103,766,120,927,38,286,173,941,667,774,787,480,858,752,782,682,87,817,230,508,726,104
B029430,864,143,883,454,804,798,919,909,533,319,719,363,75,813,694,385,932,552,278,94,95,897,937,257,354,635,472,871,901,335
B049062,849,110,869,130,755,479,110,543,73,714,353,294,884,200,654,212,463,373,935,317,873,727,123,821,320,654,302,548,791,781
B018635,635,661,475,692,40,566,107,371,364,262,183,232,437,964,618,211,306,813,466,683,62,226,323,836,813,407,62,446,639,38
B042370,849,276,960,218,247,519,904,524,769,94,237,589,349,677,319,31,741,15,33,943,107,162,878,963,571,510,638,389,780,637
B028952,350,906,623,945,225,25,220,223,521,578,945,20,406,201,525,514,501,270,21,388,84,475,851,946,487,638,873,6,7,605
B021659,611,729,433,889,432,768,346,473,551,607,560,43,433,359,612,262,794,520,700,846,813,386,325,556,950,168,56,430,236,845
B007058,208,911,872,867,900,555,613,97,379,139,266,857,952,131,532,360,609,820,953,122,827,387,335,5,146,422,445,866,846,131
B039982,276,130,155,800,166,502,640,727,319,931,713,924,661,883,662,29,976,424,596,624,928,223,569,603,121,284,171,264,819,878
B041120,516,764,281,875,554,395,900,562,235,763,929,330,881,20,834,94,462,441,569,434,902,806,665,709,270,6,905,779,525,461
B031602,596,601,537,735,645,788,774,612,934,73,520,20,407,686,557,207,581,176,454,84,667,653,257,378,832,642,217,669,436,253
B042077,844,757,466,965,671,648,123,627,139,93,134,182,979,970,129,527,116,283,759,520,391,198,501,956,735,863,524,333,863,621
B025532,223,109,447,828,143,287,934,412,535,170,134,244,429,763,412,582,465,109,801,771,856,762,157,665,761,265,405,611,963,431
B005169,784,263,726,640,516,471,516,299,523,724,810,840,994,253,943,472,46,700,229,806,493,818,324,787,975,50,258,531,632,280
B004193,994,306,411,182,311,496,253,440,29,414,524,577,448,75,136,614,768,463,260,262,641,515,2,328,254,849,859,262,557,76
B027188,258,349,143,272,120,184,782,534,967,778,644,650,910,573,88,541,658,490,949,733,833,137,250,594,698,449,345,274,788,540
B049788,576,910,819,21,175,61,299,239,283,533,180,333,707,750,605,687,319,596,664,545,107,61,795,410,128,571,160,943,848,242
B044249,354,927,978,735,809,339,935,573,615,605,875,776,44,863,270,738,556,488,564,852,250,613,262,644,671,673,66,441,217,75
B037562,262,236,153,624,30,584,926,635,506,319,474,279,190,391,48,932,142,473,113,429,79,605,502,199,942,644,26,39,978,771
B044029,225,957,105,719,931,759,991,383,926,133,319,131,352,408,895,265,711,633,439,684,426,493,799,94,291,491,10,265,570,978
B043392,62,822,155,190,195,225,740,881,379,705,102,575,415,51,85,515,943,108,656,102,943,851,572,439,297,75,88,625,99,851
B023294,516,439,577,370,9,189,251,786,561,431,199,633,588,97,695,46,346,543,23,836,367,133,899,556,882,971,869,812,793,425
B023529,536,143,431,508,862,965,561,691,333,945,246,87,281,574,393,799,561,223,434,712,294,495,647,62,318,25,62,462,91,775
B038868,336,554,223,999,224,976,26,944,823,436,248,744,54,728,385,337,809,245,905,873,825,459,271,760,834,996,140,350,290,176
B013572,478,441,509,904,370,271,804,541,191,558,520,696,230,944,389,389,329,23,302,204,789,608,374,593,73,388,374,492,481,248
B028009,28,541,630,697,981,700,644,710,870,383,827,822,878,323,725,28,421,91,799,706,78,738,548,364,413,244,647,678,723,62
B022273,879,709,104,27,381,778,188,815,532,45,426,312,662,540,524,299,27,113,827,797,549,541,862,809,895,794,292,784,13,110
B021362,425,687,620,936,334,321,201,535,676,901,137,763,755,123,226,658,738,140,223,688,724,868,811,672,389,880,25,864,278,932
B028714,7,203,501,871,692,102,987,29,153,794,556,812,599,695,180,67,327,133,124,636,174,248,140,568,452,175,506,66,598,534
B020834,770,251,889,260,887,364,294,799,7,2,761,299,458,851,968,48,114,208,212,50,688,113,874,854,920,793,516,311,786,131
B010670,366,889,527,192,679,890,511,416,588,913,944,928,935,45,728,555,532,2,164,518,669,373,270,74,634,663,380,518,778,484
B018715,811,461,661,740,358,192,519,619,98,249,828,925,891,765,496,36,734,700,484,623,765,99,254,953,347,628,627,33,768,791
B021772,569,416,253,268,230,62,287,542,528,333,244,10,91,180,883,456,596,983,725,210,965,630,85,864,317,305,463,807,931,136
B021103,318,599,334,856,638,764,281,62,895,251,314,351,467,919,121,320,75,739,394,372,844,604,201,191,206,932,468,832,33,281
B043120,169,301,638,48,53,650,159,999,371,161,348,109,224,412,540,440,93,138,641,474,841,46,364,959,337,963,31,195,424,301
B013684,379,248,377,665,905,520,427,32,236,809,346,268,359,353,230,275,317,644,98,607,793,575,656,391,161,467,218,954,639,909
B014655,753,381,162,655,734,146,918,640,160,340,622,425,784,408,196,742,417,930,285,116,683,644,110,878,629,961,408,635,77,384
B005987,389,827,774,184,736,832,365,711,498,623,950,131,179,335,797,591,385,404,660,526,392,503,94,408,579,754,95,317,926,190
B017432,351,579,554,483,804,688,446,618,483,401,765,495,930,225,78,41,573,327,326,320,799,988,656,680,287,904,748,984,965,541
B045502,772,996,720,347,254,790,488,665,712,707,564,718,54,356,225,708,814,247,432,372,569,778,191,465,955,712,183,894,655,959
B002094,175,596,815,119,511,527,683,371,681,890,74,171,425,811,919,479,44,799,318,706,894,416,251,206,894,459,199,385,199,564
B003554,343,378,271,337,157,864,776,422,168,163,237,574,341,546,260,121,475,197,751,77,370,380,234,151,170,900,45,540,810,626
B038901,951,735,487,99,348,20,943,11,674,291,979,801,819,477,965,860,827,34,175,143,548,442,803,943,835,967,285,853,571,297
B049012,223,230,246,679,268,234,977,435,970,8,860,90,495,382,906,439,418,977,800,922,420,594,604,149,563,113,588,495,842,667
B020725,358,266,987,885,61,408,96,283,485,705,443,430,358,699,589,470,205,604,651,85,31,622,149,937,501,942,758,314,237,576
B000686,289,364,823,154,920,251,530,80,975,801,638,871,520,876,771,868,194,607,209,541,22,587,688,184,371,590,929,403,644,139
B031371,283,8,89,74,570,97,144,996,550,815,227,641,624,758,660,31,932,676,643,349,565,735,104,671,81,245,892,50,710,123
B027181,599,187,259,986,706,810,550,109,187,176,454,227,5,983,64,600,384,459,292,493,710,331,495,485,906,316,673,132,363,203
B017514,431,668,839,118,998,675,385,949,117,616,46,577,38,319,888,561,82,204,804,396,540,549,482,532,355,386,771,810,3,611
B021504,399,661,963,722,809,297,683,921,418,750,927,492,116,150,271,613,380,210,982,725,810,753,460,479,540,926,927,978,77,970
B021119,427,631,601,284,56,200,987,958,731,4,30,964,291,175,102,252,225,988,835,539,867,734,634,567,5,429,519,549,698,414
B023562,180,200,430,696,989,24,985,473,97,35,299,855,216,344,167,309,960,707,28,275,232,88,785,852,789,68,638,337,199,421
B003497,994,11,748,863,905,10,140,778,756,897,934,910,544,270,822,888,70,972,825,198,921,648,444,826,880,339,297,699,965,692
B025783,745,792,51,921,966,398,942,778,285,286,450,980,218,984,564,517,864,557,532,406,625,367,443,117,221,15,418,465,677,651
B045934,471,121,469,697,650,948,978,473,450,672,759,844,202,851,889,235,811,676,423,35,617,126,835,564,727,164,313,663,319,862
B033664,159,352,260,874,540,209,236,718,616,949,419,650,979,876,843,444,870,512,393,122,988,669,248,336,703,690,560,995,238,772
B014894,939,903,686,277,439,686,799,551,548,954,613,760,983,529,812,955,152,797,192,301,753,304,506,999,56,935,307,788,287,699
B017043,113,438,185,707,93,188,119,60,637,325,224,691,136,835,8,191,495,65,528,230,526,677,137,442,857,844,890,487,594,151
B036301,679,361,224,140,547,956,796,468,243,337,794,883,756,854,696,939,433,856,501,12,411,646,875,979,35,561,325,919,576,931
B025355,307,926,945,711,394,141,313,646,764,685,240,575,711,887,704,43,137,82,808,642,908,363,86,258,115,757,623,921,482,372
B000938,842,403,878,868,412,578,911,711,524,322,470,249,99,270,122,416,592,574,54,897,711,872,607,938,572,231,874,655,606,311
B031136,99,504,868,76,108,490,519,776,47,715,392,242,644,925,247,149,539,796,730,756,906,222,789,176,653,628,825,512,811,38
B031028,559,122,775,110,898,820,702,894,90,569,388,29,245,67,646,635,158,50,477,163,977,414,507,433,60,288,472,902,450,69
B017772,558,446,624,73,6,34,780,431,674,450,150,439,682,456,597,477,108,248,316,658,874,887,873,147,852,708,299,278,816,16
B006698,837,36,883,70,314,451,207,488,147,139,415,803,493,429,950,814,489,196,624,706,533,766,508,930,683,173,467,462,505,783
B001116,263,401,681,299,157,655,315,688,852,92,187,918,621,285,996,573,637,934,273,975,987,817,768,567,821,125,306,371,164,826
B042615,240,467,131,585,227,676,842,43,395,512,176,265,406,614,962,154,460,837,323,657,983,20,917,390,105,782,544,903,157,229
B042181,699,608,804,141,944,275,925,27,323,454,259,483,783,409,296,732,270,112,78,9,471,232,25,386,31,477,569,623,333,765
B027219,383,329,648,93,888,757,372,965,406,662,879,507,104,265,699,420,737,905,516,400,451,275,67,903,543,151,148,453,321,261
B049597,254,996,741,698,171,514,466,971,927,909,342,333,156,200,599,746,509,642,337,28,767,776,355,603,433,684,904,912,185,237
B021094,145,74,994,60,513,0,319,115,987,931,833,586,473,897,102,927,5,306,17,206,636,565,816,796,734,214,990,166,944,414
B022435,794,643,588,287,444,862,106,977,625,701,735,160,102,57,218,774,380,758,201,277,671,661,551,258,146,34,456,244,70,163
B037286,315,462,267,626,562,314,29,567,172,736,617,607,325,509,586,973,338,398,183,322,885,107,758,584,794,79,994,816,598,172
B006150,468,97,679,339,151,805,643,677,677,545,971,269,571,438,470,557,802,320,649,136,985,295,873,462,650,108,358,718,544,193
B044028,929,590,190,364,746,485,823,191,583,660,990,84,218,406,41,619,999,491,716,515,408,304,85,433,622,298,55,5,653,832
B026640,671,448,993,445,82,642,765,369,369,808,82,574,356,667,853,176,68,363,427,808,471,645,618,558,796,242,850,114,211,134
B024328,503,831,352,825,277,4,805,456,72,674,597,960,538,986,961,177,551,547,717,942,54,163,197,88,854,275,107,225,982,605
B044710,357,949,372,386,834,466,528,981,355,117,124,235,818,801,992,536,529,316,608,398,132,638,592,864,615,458,609,695,237,307
B036187,138,399,789,153,247,185,566,222,637,964,875,85,417,708,35,482,962,487,230,994,182,905,271,240,616,884,867,349,297,873
B001786,31,260,683,25,63,581,343,209,408,813,432,725,580,315,978,13,426,888,48,150,497,208,590,65,167,38,108,317,421,936
B036775,64,427,602,720,258,774,855,759,899,698,92,174,520,461,760,817,44,611,368,557,545,725,835,707,521,972,452,74,976,821
B023536,492,522,252,161,674,855,421,596,518,511,220,566,124,434,813,228,797,10,582,976,704,467,268,320,676,215,762,20,658,981
B046759,145,941,293,720,738,889,659,393,952,451,411,451,955,127,290,795,68,711,681,770,942,258,602,241,320,972,696,530,400,458
B045063,483,744,897,334,120,475,967,315,228,44,155,102,323,124,532,974,0,884,938,213,277,431,574,441,535,279,734,209,438,113
B014026,830,226,531,818,262,101,204,626,81,787,993,427,327,480,256,328,25,733,248,156,995,273,145,689,253,245,629,103,267,344
B046434,719,483,48,900,32,516,100,386,236,239,142,86,23,629,188,807,980,438,460,447,386,428,938,898,679,500,226,595,105,857
B042282,277,853,695,441,538,109,409,147,227,253,410,800,698,77,905,422,607,21,146,360,476,88,336,635,191,234,385,646,68,773
B003780,95,336,162,348,411,309,908,425,164,279,507,971,131,354,94,581,686,633,753,753,957,481,665,63,138,23,860,289,73,294
B019339,773,220,239,129,154,497,803,823,873,731,643,317,724,262,97,18,543,571,324,600,25,770,173,774,153,589,378,64,476,108
B033720,412,358,268,878,479,211,332,196,774,574,56,655,966,435,633,455,470,641,936,185,553,87,656,71,545,53,246,541,401,358
B041569,326,910,110,344,618,405,535,981,941,543,656,416,402,848,775,457,447,647,985,864,44,866,283,532,33,759,211,399,32,757
B049859,577,782,395,824,900,906,568,873,753,836,232,418,428,380,952,441,806,13,816,261,136,952,935,360,911,640,418,711,612,719
B044591,221,222,93,745,586,321,294,86,908,961,899,279,299,175,373,445,393,487,217,134,748,304,979,237,953,84,58,611,385,698
B008060,121,2,745,491,678,318,598,478,175,305,366,548,598,768,376,522,731,472,729,354,462,857,468,910,271,272,622,985,565,480
B007450,469,488,432,682,176,918,831,340,614,886,303,907,978,59,709,538,656,189,886,56,846,762,79,242,700,67,368,885,161,630
B013171,710,332,612,457,115,145,613,589,754,31,780,338,972,482,831,614,735,2,662,365,645,337,804,696,761,473,353,2,359,917
B034597,712,967,255,522,623,293,79,650,800,660,887,580,423,316,838,563,411,188,368,538,578,602,72,594,110,592,89,23,95,694
B043656,459,933,160,729,861,223,783,7,250,936,981,602,611,308,561,639,470,588,650,677,127,838,488,444,470,184,359,960,772,456
B039841,733,50,563,655,582,357,750,87,151,331,713,82,518,558,197,230,760,498,781,738,679,527,655,602,473,870,848,690,605,897
B044350,214,745,99,798,572,776,488,937,187,885,899,823,826,58,472,66,168,389,889,289,267,646,638,891,220,200,203,251,201,277
B029558,105,917,197,335,180,199,364,578,937,643,271,961,614,769,75,558,239,899,873,874,297,851,588,85,324,874,545,884,265,98
B049362,250,34,173,343,763,727,21,338,567,638,295,263,549,844,125,290,393,30,574,340,114,257,645,874,850,686,296,975,976,353
B006412,69,590,447,502,351,437,698,462,639,805,899,724,878,618,275,664,180,865,913,805,905,564,739,283,487,673,401,846,63,444
B013258,596,414,575,440,29,17,383,543,401,250,170,785,857,723,846,767,328,832,810,506,477,248,508,270,725,364,749,536,374,73
B047777,674,862,585,970,156,389,230,154,762,700,361,484,826,927,866,664,490,899,503,952,876,311,228,11,312,889,1,280,933,24
B000851,684,559,341,429,867,598,367,805,423,649,497,179,863,30,828,45,728,778,843,418,446,200,950,207,604,907,742,946,155,466
B018511,196,721,456,249,337,556,929,910,755,966,314,47,393,339,32,306,879,624,101,539,709,292,306,105,258,801,459,220,845,221
